,tweet_RER_C,heure_du_tweet
219,"2x20 , voire 2x25 ... les tec c ' est galère , j ' habite à 30 minutes à pieds de la gare , j ' ai failli per …",2020-12-08 14:04:43
220,le rer d c ’ est vraiment quelque chose y a un duo qui se roulent un joint sans pression en criant tout fort,2020-12-08 13:16:35
221,tu prends le rer à à 8h pour faire cergy - paris gare de lyon le temps que t ' arrive c ' est déjà l ' heure de déjeuner,2020-12-08 13:13:35
222,a c ’ est sans doute à l ’ ancienne en 2012 / 2013,2020-12-08 12:16:22
223,tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …,2020-12-08 12:11:53
224,tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …,2020-12-08 12:10:48
225,je ss dans le rer a guetter je vois quoi ma pote elle a crus c ’ était des sabots,2020-12-08 11:57:59
226,"imaginez ma déception quand , encore jeune étudiant , j ' ai découvert la vraie destination des rer "" nice ' ( d ) et "" bali …",2020-12-08 11:49:39
227,a ok . a houilles / carrières - sur - seine on a dit à une dame qu ' il fallait que la personne se déplace ... c ' est just …,2020-12-08 11:08:26
228,bonjour a vous n ' avez pas de pince pour récupérer les objets tombés sur les voies en gare ? du coup faut atte …,2020-12-08 11:02:10
229,c ' est déjà noël . le rer vélo imaginé par ( 30 associations dont ) est devenu bien reel . la rég …,2020-12-08 10:31:57
230,jdois aller cherchez un colis à paris mais fuck rer c rt 50lo2,2020-12-08 10:31:17
231,c ’ était y a qqs mois dans le metro y avait un groupe de mecs qui me suivait depuis un moment et ils me faisaient su …,2020-12-08 10:31:03
232,je ne cours plus après les rer c ’ est finit,2020-12-08 08:32:25
233,le rer a il a quoi ? pourquoi il est aussi lent tous les jours ? tu sors tranquille t ’ arrives en retard pour rien . c ’ est abusé,2020-12-08 08:07:02
234,pourquoi le rer b est rempli ? genre vous avez tous un taf la ? le chomage c ’ est un mythe pardonnez moi .,2020-12-08 07:59:13
235,ah ouais le rer b qui bande de bon matin c ' est carré,2020-12-08 07:59:03
236,y ’ a une brésilienne qui embrouille son mec dans le rer d c ’ est clairement terrible,2020-12-08 07:53:01
237,tous les jours je vais me taper la mm dame qui ouvre la fenêtre dans le rer ? sérieux je mérite ça ? rendez moi le …,2020-12-08 07:40:38
238,c ’ est incroyable quand même d ’ avoir des rer vides à 8h30,2020-12-08 07:30:28
239,j ’ espère que y ’ aura pas de problème avec le rer c pour aller à epinay rt awa78,2020-12-08 07:30:12
240,un daronne bizarre c ’ est assis à côté de moi dans le rer vide et elle fait des signes bizarre et elle arrive pas à tenir en place sah,2020-12-08 06:10:37
241,"bonjour emilie , en effet et c ' est la vérité , les retards sont de l ' ordre de 8 à 12 minutes en direc …",2020-12-08 05:48:47
242,"sncf bonjour , à partir de quel jour le rer c sera dispo entre savigny / orge et bfm ? merci",2020-12-08 05:39:14
243,sncf l ’ absence de rer c m ’ oblige à emprunter votre ligne pour m ’ avancer vers choisy le roi,2020-12-08 05:38:32
244,,2020-12-08 01:07:43
245,laissez le terminus du rer a c ’ est abobo mtn jpp,2020-12-08 00:12:26
246,"le respect de la loi sru , c ' est éviter à une infirmière d ' habiter à des kilomètres de son travail , à …",2020-12-07 22:19:15
247,️ sncfvousinforme suite à la chute de la poutre sur les voies du sncf,2020-12-07 22:00:40
248,vraiment c l ' enfer quand tu sors du rer,2020-12-07 21:04:14
249,rerb faride même niveau point de vue voyageur prendre de grosses valises pour les …,2020-12-07 20:39:14
250,"bref j ' ai atterri y a 1h , et je n ' ai pas quitté cdg , pour un vol intra - ue sans bagage ... râler sur les avions c ' es …",2020-12-07 19:29:52
