;tweet_RER_B;heure_du_tweet
126;? - signal d ' alarme ? lundi 7 décembre 2020 à 18h17 , en raison d ' un actionnement d ' un signal d ' alarme , le trafic …;2020-12-07 17:22:46
127;? en raison d ' un bagage oublié à quai , les trains ne marquent pas l ' arrêt en gare de luxembourg dans les deux sen …;2020-12-07 16:56:45
128;peray julien a ma connaissance si : “ le déraillement d ’ une rame d …;2020-12-07 16:52:50
129;m77 peray julien maintenant le rer b en question était visiblement en prov …;2020-12-07 16:49:30
130;m77 peray julien maintenant le rer b en question était visiblement en prov …;2020-12-07 16:47:43
131;azii le rer b c ’ est une glr;2020-12-07 16:45:57
132;m77 peray julien étonnant , donc à brétigny - sur - orge , si le train roulait p …;2020-12-07 16:30:33
133;4 / 5 itinéraires alternatifs : pour vos trajets entre paris et le sud de la ligne , nous vous conseillons de p …;2020-12-07 16:15:19
134;bonjour je n ' arrive pas à savoir si le rer b fonctionne normalement demain . pouvez vous m ' aider svp et me dir …;2020-12-07 16:14:28
135;jupiterbis gov je répète souvent que c ' est l ' impérialisme qui engendre du terrorisme . je peux ajouter …;2020-12-07 15:55:13
136;la bas j etais perdu de base je prends le rer b;2020-12-07 15:47:47
137;yoyo fr pour répondre à quel besoin ? de plus , le rer b sera connecté à la ligne 16 et à la 15 à terme;2020-12-07 13:34:04
138;grande inquiètude pour le rer b : la commande des nouveaux trains est menacée par la mauvaise volonté de la ratp et …;2020-12-07 12:06:22
139;j ’ ai rer a + rer b;2020-12-07 12:05:01
140;fallu encore attendre une procédure d appel d offre et attendre la mise en industrie qui intervient que maintenant …;2020-12-07 10:12:10
141;tiens , y a ni auber rer a , ni les halles rer b poke;2020-12-07 10:10:35
142;franchement monsieur , vous qui êtes de saint denis vous pouvez remercier la région , rer …;2020-12-07 09:39:56
143;pouvez - vous mettre un lien qui fonctionne ..... le rer b un laxisme depuis des années nous pouvons r …;2020-12-07 09:07:52
144;;2020-12-07 08:18:43
145;vari cdg express va avoir des conséquences sur les usagers du rer b . ça on s ’ en doute car sncf réseau a tou …;2020-12-06 23:45:44
146;transports en ile - de - france : avis de tempête sur le rer b - le parisien;2020-12-06 22:23:09
147;rerb faride c ' est vrai mais le temps de parcours a pris cher au fil des ans surtou …;2020-12-06 22:01:27
148;jb bah y ' a pas rien là , y ' a au moins deux options . on peut …;2020-12-06 21:10:37
149;transports en ile - de - france : avis de tempête sur le rer b - le parisien;2020-12-06 19:38:03
150;;2020-12-06 17:10:49
151;le rer b c ’ est grv dla merde mais il me manque quand même;2020-12-06 16:43:42
152;« par exemple , le pont de soissons , à saint - denis , doit être refait pour accueillir le cdg express , mais aussi les …;2020-12-06 16:27:03
153;;2020-12-06 16:25:14
154;« par exemple , le pont de soissons , à saint - denis , doit être refait pour accueillir le cdg express , mais aussi les …;2020-12-06 16:24:44
155;transports en ile - de - france : avis de tempête sur le rer b - le parisien paris transport ratp rer transilien …;2020-12-06 16:16:26
156;transports en ile - de - france : avis de tempête sur le rer b ?;2020-12-06 16:15:53
157;je prend le rer b , all my ptsd are coming back to me;2020-12-06 13:10:50
158;rer b;2020-12-06 10:33:57
159;pas de rer b ce dimanche;2020-12-06 07:52:22
160;timpe non parce que là ratp c ’ est juste les métros et le rer a et b le reste c ’ est sncf;2020-12-05 23:26:24
161;incident en gare du nord : trafic interrompu sur le rer b et le rer d , fortes perturbations rt ffranouche;2020-12-05 19:41:20
162;usagersidf tout à fait d ’ accord : un bus en site propre cadencé sur la fréquentation serait suffisant et acce …;2020-12-05 09:38:40
163;lambert75 rer b sud c ' est lamentable;2020-12-05 09:26:17
164;dites vous hier je devais descendre au blanc - mesnil je me suis trompé de rer b je suis allé à charles - de - gaulle c ’ était un direct imaginez ??;2020-12-05 09:01:09
165;les joies du rer b;2020-12-04 22:58:05
166;? - panne d ' un train ? vendredi 4 décembre 2020 à 17h00 , en raison d ' un train en panne , le trafic est perturbé de …;2020-12-04 16:03:51
167;ce bon vieux rer b;2020-12-04 15:12:33
168;na mais attend j ' vien de réfléchir t ' as pris ta pdp dans le rer b ou j ' reve ?;2020-12-04 12:03:41
169;le meilleur rer c ’ est vraiment le b;2020-12-04 11:06:32
170;le rer b ça fait 1 semaine il est à l ’ approche fout la haine;2020-12-04 09:53:55
171;? - travaux ( 1 ) ? ( rer b ) à partir du 04 / 12 / 20 , le trafic sera interrompu entre aulnay et aeroport charles de gau …;2020-12-04 09:04:40
172;tm seuls ceux qui prennent le rer b peuvent devenir champions sur tm , regardes le grand;2020-12-04 08:25:31
173;papou j ' préférais être dans mon lit qu ' en train d ' attendre mon rer b à châtelet n ' empêche;2020-12-04 07:14:09
174;le rer b si y ’ a pas un problème par jour ils meurent;2020-12-04 06:36:34
175;en france on produit à la pelle des médailles fields mais les gamins sont derniers de la classe en mathématiques .…;2020-12-08 14:54:39
176;la première fois que j ’ ai été chez julien y ’ a un mec qui s ’ est mit à fumer du crack dans le rer b devant nous j ’ éta …;2020-12-08 14:38:06
177;kelly je vous suggère d ’ être auditionnée non pas à l ’ assemblée nationale mais publiquement dans le rer b …;2020-12-08 12:50:36
178;bon a cause du rer b , je vais peut être arriver en retard pour le 2eme jours de taff rt link8894;2020-12-08 09:11:38
179;pourquoi le rer b est rempli ? genre vous avez tous un taf la ? le chomage c ’ est un mythe pardonnez moi .;2020-12-08 07:59:13
180;ah ouais le rer b qui bande de bon matin c ' est carré;2020-12-08 07:59:03
181;bonjour , sur l ’ application sncf il est indiqué qu ’ il y a aucun rer b en circulation . y a t - il bien des port r …;2020-12-08 05:52:09
182;rerb faride même niveau point de vue voyageur prendre de grosses valises pour les …;2020-12-07 20:39:14
183;nowplaying dexter goldberg trio - rer b rer b dexter goldberg trio;2020-12-07 18:43:02
184;ma phobie : rer b châtelet a drancy;2020-12-07 17:31:52
185;rerb faride excepté une meilleure desserte locale ( branche mitry à aéroport cdg ) ç …;2020-12-07 17:24:26
186;? - signal d ' alarme ? lundi 7 décembre 2020 à 18h17 , en raison d ' un actionnement d ' un signal d ' alarme , le trafic …;2020-12-07 17:22:46
187;? en raison d ' un bagage oublié à quai , les trains ne marquent pas l ' arrêt en gare de luxembourg dans les deux sen …;2020-12-07 16:56:45
188;peray julien a ma connaissance si : “ le déraillement d ’ une rame d …;2020-12-07 16:52:50
189;m77 peray julien maintenant le rer b en question était visiblement en prov …;2020-12-07 16:49:30
190;m77 peray julien maintenant le rer b en question était visiblement en prov …;2020-12-07 16:47:43
191;azii le rer b c ’ est une glr;2020-12-07 16:45:57
192;m77 peray julien étonnant , donc à brétigny - sur - orge , si le train roulait p …;2020-12-07 16:30:33
193;4 / 5 itinéraires alternatifs : pour vos trajets entre paris et le sud de la ligne , nous vous conseillons de p …;2020-12-07 16:15:19
194;bonjour je n ' arrive pas à savoir si le rer b fonctionne normalement demain . pouvez vous m ' aider svp et me dir …;2020-12-07 16:14:28
195;jupiterbis gov je répète souvent que c ' est l ' impérialisme qui engendre du terrorisme . je peux ajouter …;2020-12-07 15:55:13
196;la bas j etais perdu de base je prends le rer b;2020-12-07 15:47:47
197;yoyo fr pour répondre à quel besoin ? de plus , le rer b sera connecté à la ligne 16 et à la 15 à terme;2020-12-07 13:34:04
198;grande inquiètude pour le rer b : la commande des nouveaux trains est menacée par la mauvaise volonté de la ratp et …;2020-12-07 12:06:22
199;j ’ ai rer a + rer b;2020-12-07 12:05:01
200;fallu encore attendre une procédure d appel d offre et attendre la mise en industrie qui intervient que maintenant …;2020-12-07 10:12:10
201;tiens , y a ni auber rer a , ni les halles rer b poke;2020-12-07 10:10:35
202;franchement monsieur , vous qui êtes de saint denis vous pouvez remercier la région , rer …;2020-12-07 09:39:56
203;pouvez - vous mettre un lien qui fonctionne ..... le rer b un laxisme depuis des années nous pouvons r …;2020-12-07 09:07:52
204;;2020-12-07 08:18:43
205;vari cdg express va avoir des conséquences sur les usagers du rer b . ça on s ’ en doute car sncf réseau a tou …;2020-12-06 23:45:44
206;transports en ile - de - france : avis de tempête sur le rer b - le parisien;2020-12-06 22:23:09
207;rerb faride c ' est vrai mais le temps de parcours a pris cher au fil des ans surtou …;2020-12-06 22:01:27
208;jb bah y ' a pas rien là , y ' a au moins deux options . on peut …;2020-12-06 21:10:37
209;transports en ile - de - france : avis de tempête sur le rer b - le parisien;2020-12-06 19:38:03
210;;2020-12-06 17:10:49
211;le rer b c ’ est grv dla merde mais il me manque quand même;2020-12-06 16:43:42
212;« par exemple , le pont de soissons , à saint - denis , doit être refait pour accueillir le cdg express , mais aussi les …;2020-12-06 16:27:03
213;;2020-12-06 16:25:14
214;« par exemple , le pont de soissons , à saint - denis , doit être refait pour accueillir le cdg express , mais aussi les …;2020-12-06 16:24:44
215;transports en ile - de - france : avis de tempête sur le rer b - le parisien paris transport ratp rer transilien …;2020-12-06 16:16:26
216;transports en ile - de - france : avis de tempête sur le rer b ?;2020-12-06 16:15:53
217;je prend le rer b , all my ptsd are coming back to me;2020-12-06 13:10:50
218;rer b;2020-12-06 10:33:57
219;pas de rer b ce dimanche;2020-12-06 07:52:22
220;timpe non parce que là ratp c ’ est juste les métros et le rer a et b le reste c ’ est sncf;2020-12-05 23:26:24
221;incident en gare du nord : trafic interrompu sur le rer b et le rer d , fortes perturbations rt ffranouche;2020-12-05 19:41:20
222;usagersidf tout à fait d ’ accord : un bus en site propre cadencé sur la fréquentation serait suffisant et acce …;2020-12-05 09:38:40
223;lambert75 rer b sud c ' est lamentable;2020-12-05 09:26:17
